title,link,published,summary
Safety and Efficacy of Unrelated Umbilical Cord Blood Microtransplantation in Patients With AML,http://classic.clinicaltrials.gov/ct2/show/NCT06105658?sfpd_d=14&sel_rss=new14,"Fri, 27 Oct 2023 12:00:00 EDT","<b>Condition</b>:    Acute Myelocytic Leukemia<br /><b>Interventions</b>:    Biological: Unrelated umbilical cord blood;   Drug: Chemotherapy drugs including Venetoclax, Decetabine and Azacitidine<br /><b>Sponsor</b>:    Anhui Provincial Hospital<br /><b>Recruiting</b>"
Contribution of Fast-ripples to the Improvement of the Neurosurgical Management of Drug-refractory Epilepsy,http://classic.clinicaltrials.gov/ct2/show/NCT06105645?sfpd_d=14&sel_rss=new14,"Fri, 27 Oct 2023 12:00:00 EDT","<b>Condition</b>:    Epilepsy<br /><b>Intervention</b>:    Device: Micro-Macro Depth electrodes<br /><b>Sponsor</b>:    University Hospital, Toulouse<br /><b>Not yet recruiting</b>"
"A Study to Learn About the Study Medicine Called PF-07220060 in Combination With Fulvestrant in People With HR-positive, HER2-negative Advanced or Metastatic Breast Cancer Who Progressed After a Prior Line of Treatment",http://classic.clinicaltrials.gov/ct2/show/NCT06105632?sfpd_d=14&sel_rss=new14,"Fri, 27 Oct 2023 12:00:00 EDT",<b>Condition</b>:    Advanced or Metastatic Breast Cancer<br /><b>Interventions</b>:    Drug: PF-07220060;   Drug: Fulvestrant;   Drug: Everolimus;   Drug: Exemestane<br /><b>Sponsor</b>:    Pfizer<br /><b>Not yet recruiting</b>
A Study of PLB1001 Enteric Capsules in the Treatment of sGBM/IDH Mutant Glioblastoma Patients With the ZM Fusion Gene.,http://classic.clinicaltrials.gov/ct2/show/NCT06105619?sfpd_d=14&sel_rss=new14,"Fri, 27 Oct 2023 12:00:00 EDT","<b>Condition</b>:    Glioblastoma<br /><b>Interventions</b>:    Drug: PLB1001;   Drug: Temozolomide;   Drug: Cisplatin combined with etoposide<br /><b>Sponsor</b>:    Beijing Pearl Biotechnology Limited Liability Company<br /><b>Active, not recruiting</b>"
Feasibility of the AveCure Microwave Ablation Technology for the Bronchoscopic Treatment of Malignant Central Airway Obstructions,http://classic.clinicaltrials.gov/ct2/show/NCT06105606?sfpd_d=14&sel_rss=new14,"Fri, 27 Oct 2023 12:00:00 EDT","<b>Conditions</b>:    Airway Obstruction;   Central Airway Obstruction<br /><b>Intervention</b>:    Device: AveCure Flexible Microwave Ablation Probe<br /><b>Sponsors</b>:    Beth Israel Deaconess Medical Center;   MedWaves, Inc<br /><b>Not yet recruiting</b>"
Effect of Balneotherapy and Physiotherapy Treatment in Female Infertility: a Retrospective Study,http://classic.clinicaltrials.gov/ct2/show/NCT06105593?sfpd_d=14&sel_rss=new14,"Fri, 27 Oct 2023 12:00:00 EDT","<b>Condition</b>:    Infertility, Female<br /><b>Intervention</b>:    <br /><b>Sponsor</b>:    Harkány Thermal Rehabilitation Centre<br /><b>Enrolling by invitation</b>"
"Conduction System Pacing vs Biventricular Pacing in Systolic Dysfunction and Wide QRS: Mortality, Heart Failure Hospitalization or Cardiac Transplant",http://classic.clinicaltrials.gov/ct2/show/NCT06105580?sfpd_d=14&sel_rss=new14,"Fri, 27 Oct 2023 12:00:00 EDT",<b>Conditions</b>:    Cardiac Resynchronization Therapy;   Heart Failure<br /><b>Interventions</b>:    Procedure: Conduction system pacing;   Procedure: Biventricular pacing<br /><b>Sponsors</b>:    Hospital Clinic of Barcelona;   Institut d'Investigacions Biomèdiques August Pi i Sunyer<br /><b>Not yet recruiting</b>
"The Effect of Education Given According to the Health Promotion Model on Premenstrual Symptoms, Emotional Eating Behavior and Perceived Stress",http://classic.clinicaltrials.gov/ct2/show/NCT06105567?sfpd_d=14&sel_rss=new14,"Fri, 27 Oct 2023 12:00:00 EDT",<b>Conditions</b>:    Premenstrual Syndrome;   Emotional Disorder;   Perceived Stress<br /><b>Intervention</b>:    Behavioral: Training given according to the health promotion model by applying the Philips 66 technique<br /><b>Sponsor</b>:    Kafkas University<br /><b>Not yet recruiting</b>
"Phase I/II Open Label Study of Belumosudil Mesylate Alone, and in Combination With Dexamethasone, in Patients With Relapsed/Refractory Multiple Myeloma",http://classic.clinicaltrials.gov/ct2/show/NCT06105554?sfpd_d=14&sel_rss=new14,"Fri, 27 Oct 2023 12:00:00 EDT","<b>Condition</b>:    Multiple Myeloma<br /><b>Intervention</b>:    Drug: Belumosudil mesylate<br /><b>Sponsors</b>:    M.D. Anderson Cancer Center;   Sanofi US Services, Inc<br /><b>Not yet recruiting</b>"
Hypermobile Ehlers-Danlos Syndrome - Transcutaneous Auricular Neuromodulation,http://classic.clinicaltrials.gov/ct2/show/NCT06105541?sfpd_d=14&sel_rss=new14,"Fri, 27 Oct 2023 12:00:00 EDT",<b>Conditions</b>:    Hypermobile Ehlers-Danlos Syndrome;   Hypermobile Spectrum Disorder;   Ehlers-Danlos Syndrome<br /><b>Intervention</b>:    Device: Transcutaneous Auricular Neurostimulation<br /><b>Sponsor</b>:    Medical University of South Carolina<br /><b>Recruiting</b>
A Phase 1 Study of PMN310 In Healthy Volunteers,http://classic.clinicaltrials.gov/ct2/show/NCT06105528?sfpd_d=14&sel_rss=new14,"Fri, 27 Oct 2023 12:00:00 EDT","<b>Condition</b>:    Healthy Participants<br /><b>Interventions</b>:    Drug: PMN310;   Drug: Placebo<br /><b>Sponsor</b>:    ProMis Neurosciences, Inc<br /><b>Not yet recruiting</b>"
